"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2026-03-10","Gympass Us Llc",135.29,"posted","Gym",,false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-10","Amazon Mktpl*bp8eu1pz1",35.61,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-10","Gym from Arjun Mukherjee",-135.39,"posted","Gym",,false,,"regular","fayez-kirani",,,""
"2026-03-09","Duane Reade",10.45,"posted","Healthcare",,false,,"regular","United QuestSM Card","9237",,""
"2026-03-09","Lose It!* Trial Over",85.11,"posted","Other",,false,,"regular","United QuestSM Card","9237",,""
"2026-03-09","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-09","Shop Fair Supermarket",5.18,"posted","Groceries","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-09","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-09","Shop Fair Supermarket",3.5,"posted","Groceries","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-08","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-08","Empower* Ruben Chica",14.42,"posted","",,true,,"internal transfer","AAdvantage Aviator","2347",,""
"2026-03-07","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-07","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-07","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-07","Etsy.com*8bitbuddy",6.07,"posted","Shops","Shopping",false,,"regular","United QuestSM Card","9237",,""
"2026-03-07","Bob And Betty's Foo",57.79,"posted","Groceries","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-07","Amazon Mktpl*be6do0ht0",10.85,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-07","Amazon Mktpl*be7mz5h20",23.94,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-07","Amazon Mktpl*bp65d",10.55,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-06","Uber Eats",14.9,"posted","Entertainment","Fun",false,,"regular","United QuestSM Card","9237",,""
"2026-03-06","Paul`s Da Burger Joint",88,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-06","Fka Pal Payroll",-1346.53,"posted","",,true,,"income","Total Checking","8913",,""
"2026-03-05","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-05","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-04","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-04","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-03","Dd *doordash Narasushi",2.7,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-03","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-03","Fantasypros",-53.94,"posted","",,true,,"internal transfer","AAdvantage Aviator","2347",,""
"2026-03-02","Nishaan",31.69,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-02","Cvs",10,"posted","Healthcare",,false,,"regular","United QuestSM Card","9237",,""
"2026-03-02","Amc 9640 Online",25.97,"posted","Entertainment","Fun",false,,"regular","Ultimate Rewards®","7433",,""
"2026-03-02","Lyft",21.85,"posted","Entertainment","Fun",false,,"regular","Ultimate Rewards®","2558",,""
"2026-03-02","Spectrum Spectrum",80,"posted","",,true,,"regular","Total Checking","8913",,""
"2026-03-02","Venmo",41.81,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-02","American Express Ach",36.43,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-02","Capital One Online",1300,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-02","Venmo",6.47,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-02","Thanks Bezznwkg8 Transfer F",-75,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-02","Discover E-payment",737.81,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-02","Capital One Online Pymt",-1300,"posted","",,true,,"internal transfer","Venture X","9827",,""
"2026-03-02","February Interest Interest Payment Paid_interest",-37.82,"posted","",,true,,"income","Individual Cash Account","3967",,""
"2026-03-02","Amazon Mktpl*bp6oy0fu2",7.61,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-02","Amazon.com*b96r122h0",39.18,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-01","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-03-01","Payment Thank You",-1300,"posted","",,true,,"internal transfer","United QuestSM Card","9237",,""
"2026-03-01","Uncle Sam Pizza",13.18,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-03-01","Macys .com",51.93,"posted","Clothing","Shopping",false,,"regular","United QuestSM Card","9237",,""
"2026-03-01","Amc 2112 Th St East",5.22,"posted","Entertainment","Fun",false,,"regular","United QuestSM Card","9237",,""
"2026-03-01","Zelle Payment From Bharath Kaimal",-135.3,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-01","Payment To Chase Card",1300,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-03-01","Ic* Instacart*aldi",70.64,"posted","Groceries","Food & Drink",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-01","Amazon Mktpl*be99q0kl2",20.36,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-01","Amazon Mktpl*b97yg18o0",20.68,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-01","Ic* Instacart*aldi",6.78,"posted","Groceries","Food & Drink",false,,"regular","AAdvantage Aviator","2347",,""
"2026-03-01","Empower* Sheraz Ahmed",19.22,"posted","",,true,,"internal transfer","AAdvantage Aviator","2347",,""
"2026-03-01","Spltiwise to Asim Sheikh",6.47,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-28","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-02-28","Izakaya Juraku",33.51,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-28","Citizenmbowerypos",11.56,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-28","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-02-28","Uber Eats",15.62,"posted","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-28","Barclaycard Us Creditcard",1042.31,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-28","Zelle Payment From Asim Sheikh",-135.3,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-28","Applecard Gsbank Payment",94.6,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-28","Venmo",-438.59,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-28","Interest Paid",-5.12,"posted","",,true,,"income","Certificate of Deposit","9862",,""
"2026-02-28","Amazon Mktpl*be44l72z2",5.43,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-28","Amazon Mktpl*b99f62gh0",7.49,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-28","Nba League Pass",10.81,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-28","Amazon Mktpl*b96ic4ii1",80.52,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-28","Amazon.com*b96025po0",27.21,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-28","Fantasypros",53.94,"posted","Restaurants","Food & Drink",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-28","Lordly to Vivek Krishna",41.81,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-27","Purchase Interest Charge",77.19,"posted","Other",,false,,"regular","United QuestSM Card","9237",,""
"2026-02-27","Sp Poke Court",64.25,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-27","Outro",6.99,"posted","Other",,false,,"regular","United QuestSM Card","9237",,""
"2026-02-27","Hex&co Union Square",21.76,"posted","Other",,false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-27","Nycprimarymedicalcare",25,"posted","Other",,false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-27","Internet Payment - Thank You",-737.81,"posted","",,true,,"internal transfer","Discover it chrome Card","9880",,""
"2026-02-27","Cashback Bonus Redemption Pymt-stmt Crdt",-7.52,"posted","",,true,,"internal transfer","Discover it chrome Card","9880",,""
"2026-02-27","Payment Received",-1042.31,"posted","",,true,,"internal transfer","AAdvantage Aviator","2347",,""
"2026-02-27","Withdrawal",438.59,"posted","",,true,,"internal transfer","fayez-kirani",,,""
"2026-02-26","Two Perrys (new)",18.33,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-26","Gotham Burger Nyc",21.77,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-26","Etsy",15.28,"posted","Shops","Shopping",false,,"regular","United QuestSM Card","9237",,""
"2026-02-26","Bua",18.26,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-26","Con Ed Of Ny Cecony",133.08,"posted","",,true,,"regular","Total Checking","8913",,""
"2026-02-26","N h k l to Vrat Joshi",55,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-25","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-02-25","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-02-25","Amazon.com*b99n55h91",115.37,"posted","Shops","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-25","Gympass Us Llc",135.29,"posted","Gym",,false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-24","Uber Eats",25.89,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-24","Target",18.37,"posted","Groceries","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-24","T.j. Maxx",88.7,"posted","Clothing","Shopping",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-24","Driveway Finance Billpay",260,"posted","Car","Car & Transport",false,,"regular","Total Checking","8913",,"Driveway Finance Billpay"
"2026-02-24","Kalshi Kalshi.com Ny",15.3,"posted","",,true,,"regular","Total Checking","8913",,""
"2026-02-24","Venmo",47.6,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-23","Online Transfer To Chk",3100.08,"posted","",,true,,"internal transfer","Chase Savings","2212",,""
"2026-02-23","Kalshi Kalshi.com Ny",50,"posted","",,true,,"regular","Total Checking","8913",,""
"2026-02-23","Online Transfer  United ########4499 Transaction #:",3250,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-23","Online Transfer From Sav",-3100.08,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-23","Amazon Mktplace",-87.08,"posted","",,true,,"internal transfer","Venture X","9827",,""
"2026-02-23","Hail Mary from Vivek Krishna",-30.49,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-23","231 - 58.48 (what you owe me) from Ankita Rao",-172.52,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-23","Governors Ball from Asim Sheikh",-164.14,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-22","Cafe Calaca",7.53,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-22","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-02-22","United",726.84,"posted","Travel & Vacation",,false,,"regular","United QuestSM Card","9237",,""
"2026-02-22","Electric Burrito Eas",16.46,"posted","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-22","Playstation",173.19,"posted","Shops","Shopping",false,,"regular","Discover it chrome Card","9880",,""
"2026-02-22","Neptune Diner Ii",24.92,"posted","Restaurants","Food & Drink",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-22","Strong Island Power",30,"posted","",,true,,"internal transfer","AAdvantage Aviator","2347",,""
"2026-02-22","Costco from Asim Sheikh",-100.44,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-22","Birds of a feather to Asim Sheikh",47.6,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-21","Nyct Paygo",3,"posted","Gas","Car & Transport",false,,"regular","United QuestSM Card","9237",,""
"2026-02-21","Sp Www.47brand.com",89.25,"posted","Clothing","Shopping",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-21","Online Transfer From Chk",-100,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-21","Amazon Mktplace",-87.09,"posted","Shops","Shopping",false,,"regular","Discover it chrome Card","9880",,""
"2026-02-21","Empower* Jean Nicolas",10.75,"posted","Groceries","Food & Drink",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-21","Sp Branded Bills",75.6,"posted","Clothing","Shopping",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-20","Amc 9640 Online",30.49,"posted","Entertainment","Fun",false,,"regular","United QuestSM Card","9237",,""
"2026-02-20","Costco",200.87,"posted","Groceries","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-20","Downtown Social",38.67,"posted","Bars & Nightlife","Fun",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-20","Venmo",-209.77,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-20","Fka Pal Payroll",-2948.36,"posted","",,true,,"income","Total Checking","8913",,""
"2026-02-19","Online Transfer From Chk",-3100,"posted","",,true,,"internal transfer","Chase Savings","2212",,""
"2026-02-19","Payment Thank You-mobile",-3000,"posted","",,true,,"internal transfer","United QuestSM Card","9237",,""
"2026-02-19","Online Transfer To Sav",3100,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-19","Payment To Chase Card",3000,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-19","Zelle Payment From Asim Sheikh",-106.54,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-19","State Farm",10.83,"posted","Insurance",,false,,"regular","Total Checking","8913",,""
"2026-02-19","Withdrawal",209.77,"posted","",,true,,"internal transfer","fayez-kirani",,,""
"2026-02-19","🍹🍹 from Abby Troy",-26,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-18","Splitwise Payment",488.26,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-18","Amazon Mktplace",-28.92,"posted","",,true,,"internal transfer","Venture X","9827",,""
"2026-02-17","Rideshare Credit $100-yr",-8,"posted","",,true,,"internal transfer","United QuestSM Card","9237",,""
"2026-02-17","Amazon Mktplace",-32.64,"posted","Shops","Shopping",false,,"regular","Discover it chrome Card","9880",,""
"2026-02-16","Dubclub Subscription",40,"posted","Subscriptions",,false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-15","Uber",45.89,"posted","Entertainment","Fun",false,,"regular","United QuestSM Card","9237",,""
"2026-02-14","Mcdonald's",15.11,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-14","Velvet Taco",21.26,"posted","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-14","Pluckers Wing Bar",18.72,"posted","Restaurants","Food & Drink",false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-13","Walgreens",10.77,"posted","Healthcare",,false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-12","Thai Tapas",55.85,"posted","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-11","Hilton",1776.16,"posted","Paybacks",,true,,"regular","Ultimate Rewards®","2558",,""
"2026-02-11","Lyft",24.22,"posted","Entertainment","Fun",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-10","Venmo",200,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-10","Venmo",100,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-10","Gympass Us Llc",135.29,"posted","Paybacks",,true,,"regular","AAdvantage Aviator","2347",,""
"2026-02-10","Gympass Us Llc",135.29,"posted","Paybacks",,true,,"regular","AAdvantage Aviator","2347",,""
"2026-02-10","🎁 from Aman Patel",-209.77,"posted","Restaurants","Food & Drink",false,,"regular","fayez-kirani",,,""
"2026-02-09","Hard Rock Vegas Strip R",15,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-09","Polaris Street Cafe",30.88,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-09","Shake Shack",11.91,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-09","Betmgm Llc Viatrustly",-165.29,"posted","",,true,,"regular","Total Checking","8913",,""
"2026-02-09","Venmo",-387,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-09","Kalshi Kalshi Acc",-302.71,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-09","Betmgm Llc Viatrustly 8zrqnc",250,"posted","Entertainment","Fun",false,,"regular","Total Checking","8913",,""
"2026-02-09","Capital One Mobile Ca0f7b20a811f3b",2127.39,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-09","Capital One Mobile Pymt",-2127.39,"posted","",,true,,"internal transfer","Venture X","9827",,""
"2026-02-09","Gympass Us Llc",135.29,"posted","Gym",,false,,"regular","AAdvantage Aviator","2347",,""
"2026-02-09","Run back to Bharath Kaimal",100,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-09","Runback to Savit Dhawan",200,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-08","Walgreens",3.78,"posted","Healthcare",,false,,"regular","United QuestSM Card","9237",,""
"2026-02-08","Ua Inflight-inclub Credit",-2,"posted","Travel & Vacation",,false,,"regular","United QuestSM Card","9237",,""
"2026-02-08","Lyft",30.69,"posted","Entertainment","Fun",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-08","Withdrawal",387,"posted","",,true,,"internal transfer","fayez-kirani",,,""
"2026-02-07","Fat Tuesday - Projec",26.4,"posted","Restaurants","Food & Drink",false,,"regular","United QuestSM Card","9237",,""
"2026-02-07","Walgreens",3.89,"posted","Healthcare",,false,,"regular","United QuestSM Card","9237",,""
"2026-02-07","Cosmopol-chandelier",182.56,"posted","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-07","Dd *doordash Smithsfoo",31.4,"posted","Restaurants","Food & Drink",false,,"regular","Ultimate Rewards®","2558",,""
"2026-02-07","Payment Thank You-mobile",-271.55,"posted","",,true,,"internal transfer","Ultimate Rewards®","2558",,""
"2026-02-07","Payment To Chase Card",271.55,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-07","Zelle Payment From Shreya Datta",-73.46,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-07",":venmo_dollar: from Savit Dhawan",-200,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-06","Ua Inflt",8,"posted","Travel & Vacation",,false,,"regular","United QuestSM Card","9237",,""
"2026-02-06","Fka Pal Payroll",-2945.47,"posted","",,true,,"income","Total Checking","8913",,""
"2026-02-06","Zelle Payment From Younes Baghdad Wfct0zs2jm2g",-71,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-06","Withdrawal",3000,"posted","Other",,false,,"regular","Total Checking","8913",,""
"2026-02-06","Venmo",-881.71,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-06","Withdrawal",881.71,"posted","",,true,,"internal transfer","fayez-kirani",,,""
"2026-02-06","Soothrrrr from Sarah Fung",-42,"posted","Other",,false,,"regular","fayez-kirani",,,""
"2026-02-05","Interest Payment",-0.01,"posted","",,true,,"income","Chase Savings","2212",,""
"2026-02-05","Zelle Payment From Arjun Mukherjee Baca1ht0yg9i",-500,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-05","Zelle Payment From Kushagr Bhatia Bacfvytaae3l",-75.97,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-05","Zelle Payment From Kartikeya Kancherla",-168.24,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-05","Venmo",-3607.17,"posted","",,true,,"internal transfer","Total Checking","8913",,""
"2026-02-05","Zelle Payment From Savit Dhawan Wfct0zrxgjsg",-1000,"posted","",,true,,"internal transfer","Total Checking","8913",,""
